StationCode,longitude,latitude,geometry
304PS0253,-122.14665,37.20189,"c(-122.14665, 37.20189)"
304PS0274,-122.06681,37.04831,"c(-122.06681, 37.04831)"
304SCEF,-121.91361,37.08333,"c(-121.91361, 37.08333)"
304SCEFLx,-121.91361,37.08333,"c(-121.91361, 37.08333)"
304SCM,-122.25062,37.10439,"c(-122.25062, 37.10439)"
304SCRH,-122.24806,37.11639,"c(-122.24806, 37.11639)"
304SCS5,-122.24806,37.11639,"c(-122.24806, 37.11639)"
304SCSDFx,-121.91361,37.08333,"c(-121.91361, 37.08333)"
304SCUM,-122.24806,37.11639,"c(-122.24806, 37.11639)"
304SED055,-121.90287,36.97447,"c(-121.90287, 36.97447)"
304SED058,-122.10576,37.13171,"c(-122.10576, 37.13171)"
304SED068,-121.95689,36.97749,"c(-121.95689, 36.97749)"
304SED070,-121.94204,37.0383,"c(-121.94204, 37.0383)"
304SED072,-122.13624,37.163,"c(-122.13624, 37.163)"
304SED073,-122.26981,37.11501,"c(-122.26981, 37.11501)"
304SED074,-122.06586,37.04956,"c(-122.06586, 37.04956)"
304SED110,-122.12634,37.15999,"c(-122.12634, 37.15999)"
304SED111,-122.05787,37.02964,"c(-122.05787, 37.02964)"
304SED112,-122.22637,37.04361,"c(-122.22637, 37.04361)"
304SLB,-122.0709615,37.0443104,"c(-122.0709615, 37.0443104)"
304SLE,-122.12103,37.12777,"c(-122.12103, 37.12777)"
304SOQ,-121.95282,36.97343,"c(-121.95282, 36.97343)"
304SOU,-121.9453,37.03089,"c(-121.9453, 37.03089)"
304SPC236,-122.21421,37.16832,"c(-122.21421, 37.16832)"
304SVC,-122.1867,37.02095,"c(-122.1867, 37.02095)"
304WDCAH1,-122.26978,37.11371,"c(-122.26978, 37.11371)"
304ZAY,-122.06429,37.04956,"c(-122.06429, 37.04956)"
305BRI,-121.21056,36.61423,"c(-121.21056, 36.61423)"
305COR,-121.74372,36.91275,"c(-121.74372, 36.91275)"
305COR2,-121.80135,36.98905,"c(-121.80135, 36.98905)"
305CRCBVR,-121.80175,36.98975,"c(-121.80175, 36.98975)"
305FRA,-121.49082,36.96342,"c(-121.49082, 36.96342)"
305LGCBRC,-121.77368,37.14815,"c(-121.77368, 37.14815)"
305PCCH15,-121.38389,36.94417,"c(-121.38389, 36.94417)"
305PS0057,-121.51176,36.95204,"c(-121.51176, 36.95204)"
305SCC,-121.74194,36.91556,"c(-121.74194, 36.91556)"
305SED061,-121.80336,36.98979,"c(-121.80336, 36.98979)"
305SSCAUC,-121.79433,37.08499,"c(-121.79433, 37.08499)"
305UVCASC,-121.79451,37.0866,"c(-121.79451, 37.0866)"
307CML,-121.91167,36.53637,"c(-121.91167, 36.53637)"
307CMN,-121.66046,36.3992,"c(-121.66046, 36.3992)"
307CMRADC,-121.66308,36.37222,"c(-121.66308, 36.37222)"
307SCCARR,-121.79847,36.43081,"c(-121.79847, 36.43081)"
307SED060,-121.65651,36.36112,"c(-121.65651, 36.36112)"
308BGC,-121.59807,36.0709,"c(-121.59807, 36.0709)"
308MWCAH1,-121.66643,36.16255,"c(-121.66643, 36.16255)"
308PS0204,-121.79423,36.26011,"c(-121.79423, 36.26011)"
308PWCAH1,-121.46781,35.93554,"c(-121.46781, 35.93554)"
308SAM,-121.35838,35.81577,"c(-121.35838, 35.81577)"
308SBCAH1,-121.92261,36.4551,"c(-121.92261, 36.4551)"
308SED059,-121.83414,36.28121,"c(-121.83414, 36.28121)"
308WLO,-121.45966,35.89369,"c(-121.45966, 35.89369)"
309ARSARC,-121.46866,36.11966,"c(-121.46866, 36.11966)"
309DAV,-121.70138,36.6468,"c(-121.70138, 36.6468)"
