StationCode,longitude,latitude,HUC_12,gage_id,ID,NHDV1_COMID,NHDV2_COMID,STATION_NAME,SampleID
403STCSTP,-119.07567,34.39583,180701020901,11113500,T11113500,17573647,17573647,SANTA PAULA CREEK NEAR SANTA PAULA,403STCSTP_10312001_BMI_CSBP_Trans_1
403WE0534,-118.77983,34.61359,180701020602,11109525,T11109525,24858039,24858039,PIRU C BL PYRAMID LK NR GORMAN CA,403WE0534_06202000_BMI_RWB_1
403WE0683,-119.07616,34.43952,180701020901,11113500,T11113500,17573647,17573647,SANTA PAULA CREEK NEAR SANTA PAULA,403WE0683_05152013_BMI_RWB_1
403WE0746,-119.07511,34.39548,180701020901,11113500,T11113500,17573647,17573647,SANTA PAULA CREEK NEAR SANTA PAULA,403WE0746_07312001_BMI_CSBP_Trans_1
403WE0905,-119.24876,34.55734,180701020702,11111500,T11111500,17567911,17567911,SESPE CREEK NEAR WHEELER SPRINGS CA,403WE0905_07222008_BMI_RWB_1
408CAL004,-119.08265,34.1127,180701030107,11106550,T11106550,17562626,17562626,CALLEGUAS C NR CAMARILLO CA,408CAL004_10312001_BMI_CSBP_Trans_1
408CAL006,-119.06255,34.16443,180701030107,11106550,T11106550,17562626,17562626,CALLEGUAS C NR CAMARILLO CA,408CAL006_10312001_BMI_CSBP_Trans_1
408PS0032,-119.05743,34.1688,180701030107,11106550,T11106550,17562626,17562626,CALLEGUAS C NR CAMARILLO CA,408PS0032_05212008_BMI_RWB_MCM_1
412CE0232,-118.45624,34.15907,180701050208,11092450,T11092450,22515812,22515812,LOS ANGELES R A SEPULVEDA DAM CA,412CE0232_07162015_BMI_RWB_MCM_1
412CE0232,-118.45624,34.15907,180701050208,11097000,T11097000,22515762,22515762,BIG TUJUNGA C BL HANSEN DAM CA,412CE0232_07162015_BMI_RWB_MCM_1
412CE0616,-118.42994,34.15397,180701050208,11092450,T11092450,22515812,22515812,LOS ANGELES R A SEPULVEDA DAM CA,412CE0616_07162015_BMI_RWB_MCM_1
412CE0616,-118.42994,34.15397,180701050208,11097000,T11097000,22515762,22515762,BIG TUJUNGA C BL HANSEN DAM CA,412CE0616_07162015_BMI_RWB_MCM_1
412LAR031,-118.10604,33.99525,180701050303,11101250,T11101250,22515826,22515826,RIO HONDO AB WHITTIER NARROWS DAM CA,412LAR031_06282005_BMI_TRC_1
412LAR031,-118.10604,33.99525,180701050303,11102300,T11102300,22515830,22515830,RIO HONDO BL WHITTIER NARROWS DAM CA,412LAR031_06282005_BMI_TRC_1
412M08597,-118.43907,34.15524,180701050208,11092450,T11092450,22515812,22515812,LOS ANGELES R A SEPULVEDA DAM CA,412M08597_07162015_BMI_RWB_MCM_1
