comid,gageid,refgage
17118355,11230520,Non-Ref
17118355,11230530,Non-Ref
17119099,11231500,Non-Ref
17119099,11231550,Non-Ref
17119099,11231600,Non-Ref
17115185,11234750,Non-Ref
17115185,11234760,Non-Ref
17115461,11235100,Non-Ref
17116171,11235500,Non-Ref
17116171,11235500,Ref
948040323,11237000,Non-Ref
17116209,11237600,Non-Ref
17116209,11237700,Non-Ref
17116561,11238100,Non-Ref
17115751,11238250,Non-Ref
17116227,11238270,Non-Ref
17116227,11238270,Ref
17116205,11238380,Non-Ref
17116205,11238400,Non-Ref
17116205,11238500,Non-Ref
17116201,11238550,Non-Ref
17116559,11238600,Non-Ref
17116249,11239300,Non-Ref
17115711,11241500,Non-Ref
17116239,11241800,Non-Ref
17115703,11242000,Non-Ref
17116151,11243300,Non-Ref
17116151,11243300,Ref
17115319,11243500,Non-Ref
17115319,11243500,Ref
17115319,11244000,Non-Ref
17115319,11244000,Ref
17115319,11244100,Non-Ref
17115319,11244100,Ref
17116241,11246500,Non-Ref
17116565,11246530,Non-Ref
17116229,11246570,Non-Ref
17116229,11246570,Ref
17116403,11246590,Non-Ref
17116391,11246610,Non-Ref
17115743,11246700,Non-Ref
17116573,11246950,Non-Ref
17116441,11247050,Non-Ref
17116483,11249500,Non-Ref
19792057,11250000,Non-Ref
19784319,11254000,Non-Ref
19777307,11261100,Non-Ref
19771455,11261500,Non-Ref
19771685,11262900,Non-Ref
948040318,11267350,Non-Ref
948040318,11267350,Ref
21607271,11269700,Non-Ref
2824270,11271320,Non-Ref
2833552,11272500,Non-Ref
2829226,11274000,Non-Ref
2827158,11274538,Non-Ref
2828044,11274550,Non-Ref
2828044,11274550,Ref
17081559,11276500,Non-Ref
17082145,11276600,Non-Ref
17082145,11276900,Non-Ref
17082195,11277100,Non-Ref
17081431,11277300,Non-Ref
17081409,11278000,Non-Ref
17082139,11278300,Non-Ref
17081685,11278400,Non-Ref
2823718,11289000,Non-Ref
2823750,11289500,Non-Ref
2823750,11289650,Non-Ref
2823750,11289651,Non-Ref
2823972,11290000,Non-Ref
347511,11292000,Non-Ref
344873,11292700,Non-Ref
343157,11292820,Non-Ref
343265,11292860,Non-Ref
343205,11292900,Non-Ref
343205,11292900,Ref
343205,11292901,Non-Ref
343205,11292901,Ref
346319,11293580,Non-Ref
346319,11293580,Ref
342483,11293600,Non-Ref
347483,11293760,Non-Ref
343061,11295210,Non-Ref
343061,11295230,Non-Ref
343333,11295240,Non-Ref
343569,11295250,Non-Ref
343159,11295270,Non-Ref
343239,11295300,Non-Ref
343589,11295400,Non-Ref
343589,11295401,Non-Ref
343477,11295500,Non-Ref
343589,11295505,Non-Ref
343249,11296500,Non-Ref
343331,11297000,Non-Ref
343847,11297500,Non-Ref
343907,11298000,Non-Ref
343523,11298650,Non-Ref
348435,11299200,Non-Ref
349891,11299996,Non-Ref
348545,11300500,Non-Ref
348545,11301000,Non-Ref
348545,11302000,Non-Ref
2819818,11303000,Non-Ref
1897416,11303500,Non-Ref
17067102,11308900,Non-Ref
1894476,11313000,Non-Ref
1894476,11313000,Ref
17055544,11313510,Non-Ref
17055544,11314000,Non-Ref
17055544,11314500,Non-Ref
17055970,11316600,Non-Ref
17055724,11316605,Non-Ref
17058244,11316610,Non-Ref
17056846,11316700,Non-Ref
17056670,11317000,Non-Ref
17057632,11319500,Non-Ref
3953347,11323500,Non-Ref
3953371,11325000,Non-Ref
3953371,11325000,Ref
948040261,11325500,Non-Ref
20196266,11333000,Non-Ref
20192498,11335000,Non-Ref
15040355,11336580,Non-Ref
15040999,11336585,Non-Ref
1889756,11337000,Non-Ref
1896910,11337600,Non-Ref
7966063,11342000,Non-Ref
7932193,11345500,Non-Ref
7932045,11348500,Non-Ref
7951786,11351700,Non-Ref
7926519,11351945,Non-Ref
7926519,11351946,Non-Ref
7926519,11351948,Non-Ref
7926519,11351950,Non-Ref
7952678,11354200,Non-Ref
7952678,11355010,Non-Ref
7952272,11358010,Non-Ref
7952272,11358020,Non-Ref
7952820,11358700,Non-Ref
7951880,11358800,Non-Ref
7951822,11359300,Non-Ref
7952864,11362300,Non-Ref
7951808,11362500,Non-Ref
7952676,11362600,Non-Ref
7951770,11362700,Non-Ref
7951770,11362700,Ref
7948320,11362800,Non-Ref
7948266,11362880,Non-Ref
7948266,11362890,Non-Ref
7948302,11362940,Non-Ref
7948302,11362945,Non-Ref
7948302,11362950,Non-Ref
7948916,11363000,Non-Ref
7951766,11363910,Non-Ref
7951912,11364150,Non-Ref
7952048,11364155,Non-Ref
7952070,11364250,Non-Ref
7950850,11365000,Non-Ref
7960779,11367500,Non-Ref
7961225,11367720,Non-Ref
7960915,11367800,Non-Ref
7962651,11368000,Non-Ref
2495224,11370500,Non-Ref
2782279,11371600,Non-Ref
2764310,11372325,Non-Ref
2764310,11372325,Ref
2764376,11372330,Non-Ref
2764352,11372350,Non-Ref
4296241,11376000,Non-Ref
4296241,11376000,Ref
2764502,11376025,Non-Ref
2765976,11376043,Non-Ref
2766008,11376046,Non-Ref
2765984,11376110,Non-Ref
2765984,11376120,Non-Ref
2766194,11376410,Non-Ref
948020794,11376430,Non-Ref
2495730,11376458,Non-Ref
2496048,11376550,Non-Ref
12068798,11379500,Non-Ref
8019544,11381500,Non-Ref
12071928,11382000,Non-Ref
