metric,status_code,status,alteration_type,median_in_iqr,comid,gage_id
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,15022679,11447360
Peak_Dur_5,1,likely_unaltered,none_found,FALSE,15022679,11447360
Peak_10,1,likely_unaltered,none_found,TRUE,15022679,11447360
Peak_2,1,likely_unaltered,none_found,FALSE,15022679,11447360
Peak_5,1,likely_unaltered,none_found,TRUE,15022679,11447360
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,15022679,11447360
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,15022679,11447360
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,15022679,11447360
DS_Dur_WS,-1,likely_altered,low,FALSE,15040355,11336580
DS_Tim,-1,likely_altered,late,FALSE,15040355,11336580
DS_Mag_50,-1,likely_altered,high,FALSE,15040355,11336580
DS_Mag_90,-1,likely_altered,high,FALSE,15040355,11336580
FA_Dur,1,likely_unaltered,none_found,TRUE,15040355,11336580
FA_Mag,1,likely_unaltered,none_found,FALSE,15040355,11336580
FA_Tim,1,likely_unaltered,none_found,FALSE,15040355,11336580
Wet_Tim,1,likely_unaltered,none_found,FALSE,15040355,11336580
SP_ROC,-1,likely_altered,high,FALSE,15040355,11336580
SP_Mag,1,likely_unaltered,none_found,TRUE,15040355,11336580
SP_Tim,1,likely_unaltered,none_found,FALSE,15040355,11336580
Wet_BFL_Dur,1,likely_unaltered,none_found,FALSE,15040355,11336580
Wet_BFL_Mag_10,-1,likely_altered,high,FALSE,15040355,11336580
Wet_BFL_Mag_50,1,likely_unaltered,none_found,FALSE,15040355,11336580
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,15040355,11336580
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,15040355,11336580
Peak_Dur_5,1,likely_unaltered,none_found,FALSE,15040355,11336580
Peak_10,1,likely_unaltered,none_found,TRUE,15040355,11336580
Peak_2,1,likely_unaltered,none_found,FALSE,15040355,11336580
Peak_5,1,likely_unaltered,none_found,TRUE,15040355,11336580
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,15040355,11336580
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,15040355,11336580
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,15040355,11336580
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,15022307,11447293
DS_Tim,-1,likely_altered,early,FALSE,15022307,11447293
DS_Mag_50,-1,likely_altered,low,FALSE,15022307,11447293
DS_Mag_90,-1,likely_altered,low,FALSE,15022307,11447293
FA_Dur,1,likely_unaltered,none_found,TRUE,15022307,11447293
FA_Mag,-1,likely_altered,low,FALSE,15022307,11447293
FA_Tim,1,likely_unaltered,none_found,TRUE,15022307,11447293
Wet_Tim,1,likely_unaltered,none_found,FALSE,15022307,11447293
SP_ROC,1,likely_unaltered,none_found,FALSE,15022307,11447293
SP_Mag,-1,likely_altered,low,FALSE,15022307,11447293
