"objectid","stationcode","pgroup1","pgroup2","pgroup3","pgroup4","pgroup5","pgroup6","pgroup7","pgroup8","pgroup9","pgroup10","pgroup11","lastupdatedate","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project"
2702,"206CE0495",0.0279,0.0411,0.2233,0.3123,0.0045,0.0051,0.0025,0.0763,0.0719,0.2225,0.0126,"","machine","SWAMP","","false","{BFD5CA49-4165-4114-B188-DEC83949D8A8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2703,"801BRC184",4e-04,0.0424,0.0038,0.0236,0.0321,0.0227,0.0015,0.5893,0.0421,0.172,0.0701,"","machine","SWAMP","","true","{2B6B4199-8FFF-4F34-B9A9-064A3E5FB724}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2705,"519PS0402",0.0078,0.05,0.0385,0.3303,0.002,0.0042,0.0028,0.0948,0.03,0.397,0.0426,"","machine","SWAMP","","false","{DB027C32-B8D6-4ECE-9A05-3B01B4CD8A79}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2706,"514BRUUPX",0.5416,0.0203,0.2654,0.0691,0.0307,0.0149,0.0038,0.0416,0.0058,0.0065,3e-04,"","machine","SWAMP","","false","{F66FCB33-B8E0-4491-8EA8-79E930A3C767}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2708,"518HGY101",0.1361,0.3282,0.0032,0.0613,0.0826,0.1614,0.0186,0.1029,0.0644,0.0336,0.0077,"","human","SMC","2018-09-05 00:00:00","false","{E00E6C99-8364-4012-B7F9-3CC4E135C0E4}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2709,"517SLT050",0.3377,0.434,0.0735,0.0624,0.0545,0.0145,0.0079,0.008,0.0072,3e-04,0,"","human","SMC","2018-09-05 00:00:00","false","{F068B028-F482-4F7B-8019-329721800D5C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2710,"107RWCBHW",0.1408,0.0842,0.1269,0.3361,0.2429,8e-04,0.0011,0.0022,0.0011,0.0615,0.0024,"","machine","SWAMP","","false","{D832458B-C5C3-4CD1-9BF9-E3506CF08731}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2711,"520DCDCRx",0.0639,0.0103,0.2765,0.3974,0.0102,0.0081,1e-04,0.1052,0.0109,0.1161,0.0013,"","human","SMC","2018-09-05 00:00:00","false","{BC0014E8-2928-4DC5-BAF8-635F5935A69C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2713,"514LNCASC",0.0979,0.0647,0,0.0018,8e-04,0.0073,0.1674,0.0132,0.6469,0,0,"","machine","SWAMP","","false","{E115D194-3229-4998-900B-0B77705338D0}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2715,"105WE1005",0.2197,0.086,0.467,0.1984,0.0069,0.0077,8e-04,0.011,0.0018,0,7e-04,"","human","SMC","2018-09-05 00:00:00","false","{6966A281-DDE9-4087-8BCF-8863E5A885FD}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2716,"114CE0283",0.0206,0.0232,0.0982,0.4817,0.1442,0.0048,5e-04,0.0414,0.0024,0.183,0,"","machine","SWAMP","","false","{036FBB3E-281A-40B9-9FCA-55F276A7A438}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2717,"526HTC129",0.0206,0.1444,0.0107,0.2425,0.2412,0.017,0.0222,0.1267,0.0149,0.1577,0.0021,"","machine","SWAMP","","false","{F0141463-46F6-4624-AAE9-E1BE809C66A8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2718,"106WER012",0.5055,0.1694,0.111,0.0682,0.0571,0.0652,0.0039,0.019,2e-04,5e-04,0,"","human","SMC","2018-09-05 00:00:00","false","{55AE4448-6EAE-447C-A37E-563D185AA43B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2719,"901S01849",0,0,0,0.0012,0,2e-04,0,0.9479,0.0125,0.0348,0.0034,"","human","SMC","2018-09-05 00:00:00","true","{6611D4A9-3D50-42A8-9911-06818DC998FB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
